Original Term	Original Label	Suggested Normalization	PATO xref	CHEBI xref	PO xref	ENVO xref
StressIndicator	Stress indicator	Stress indicator				
StructuralCarbon	StructuralCarbon	Structural carbon				
Structure	Structure	Structure				
Subsurface	Subsurface	Subsurface				
SubsurfaceIrrigation	SubsurfaceIrrigation	NA				
Sun	Sun	Sun				
Surface	Surface	Surface				
SurfaceAtmosphere	Surface atmosphere	NA				
SurfaceIrrigation	SurfaceIrrigation	Surface irrigation				
SurfaceLitter	Surface litter	Surface litter				
SurfaceRunoff	Surface runoff	Surface runoff				
SurfaceWater	Surface water	Surface water				
SurfaceWaterBody	Surface water body	Surface water				
Temperature	Temperature	Temperature	PATO:0000146			
ThermalAdaptation	ThermalAdaptation	Thermal adaptation				
TopSoil	TopSoil	Topsoil				
TotalEvaporation	TotalEvaporation	Total evaporation				
Tracers	Tracers	NA				
UnclassifiedVariable	unclassified variable	NA				
UndergroundIrrigation	UndergroundIrrigation	NA				
UndergroundIrrigationSystem	UndergroundIrrigationSystem	NA				
Unit	unit	NA				
UnitArea	UnitArea	NA				
Uptake	Uptake	Uptake				
UptakeExudation	Uptake exudation	Uptake				
UptakeKinetics	Uptake kinetics	Uptake				
UptakeRate	Uptake rate	Uptake				
UptakeVelocity	Uptake velocity	Uptake				
Urea	Urea	Urea				
UreaFertilizer	UreaFertilizer	Urea				
VHeatCap	VHeatCap	Volumetric heat capacity				
Vapor	Vapor	Water vapor				
Variable	variable	NA				
Volatilization	Volatilization	NA				
Volume	Volume	Volume	PATO:0000918			
VolumeFraction	Volume fraction	NA				
WDPTHD	WDPTHD	NA				
Water	Water	Water				
WaterContent	Water content	Water content				
WaterDistribution	Water distribution	NA				
WaterFlow	WaterFlow	NA				
WaterFlux	Water flux	Water flux				
WaterHoldingCapacity	Water holding capacity	NA				
WaterTable	WaterTable	Water table				
WaterTransfer	Water transfer	NA				
WaterVapor	Water vapor	Water vapor				
Width	Width	Width				
Wind	Wind	Wind				
WindSpeed	WindSpeed	Wind speed				
Zone	Zone	Zone				
